Fecha,temp_min,temp_max,temp_avg,Year,Month,date,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,temp_min_log,temp_max_log,temp_avg_log,timeIndex
1920-02,17.02758620689655,27.586206896551722,22.306896551724137,1920,2,1920-02-01,1,0,0,0,0,0,0,0,0,0,0,2.834834746924605,3.3173158976814534,3.104895893063466,133
1920-03,15.783870967741937,27.41290322580645,21.598387096774193,1920,3,1920-03-01,0,1,0,0,0,0,0,0,0,0,0,2.758988593809932,3.311013823195565,3.072618640456429,134
1920-04,13.51,23.65666666666667,18.583333333333336,1920,4,1920-04-01,0,0,1,0,0,0,0,0,0,0,0,2.6034301519721073,3.163644963868782,2.9222651216721185,135
1920-05,9.577419354838709,19.51290322580645,14.545161290322579,1920,5,1920-05-01,0,0,0,1,0,0,0,0,0,0,0,2.2594081772845676,2.9710759506277222,2.677258380941892,136
1920-06,4.033333333333333,14.613333333333333,9.323333333333334,1920,6,1920-06-01,0,0,0,0,1,0,0,0,0,0,0,1.3945931639345857,2.6819343539716503,2.232520218545759,137
1920-07,3.3451612903225807,13.464516129032257,8.404838709677419,1920,7,1920-07-01,0,0,0,0,0,1,0,0,0,0,0,1.2075149107503353,2.600057790157954,2.128807576870077,138
1920-08,4.864516129032259,16.870967741935484,10.86774193548387,1920,8,1920-08-01,0,0,0,0,0,0,1,0,0,0,0,1.5819672510887095,2.8255942595797765,2.3857989459273607,139
1920-09,7.54,20.39,13.965,1920,9,1920-09-01,0,0,0,0,0,0,0,1,0,0,0,2.020222182019865,3.015044584586364,2.63655419939714,140
1920-10,9.280645161290321,20.541935483870965,14.911290322580644,1920,10,1920-10-01,0,0,0,0,0,0,0,0,1,0,0,2.227931066072356,3.022468430045027,2.7021186657820877,141
1920-11,13.0,23.903333333333332,18.451666666666668,1920,11,1920-11-01,0,0,0,0,0,0,0,0,0,1,0,2.5649493574615367,3.1740179192263738,2.9151547006433205,142
1920-12,15.754838709677419,27.567741935483873,21.661290322580648,1920,12,1920-12-01,0,0,0,0,0,0,0,0,0,0,1,2.757147537751403,3.3166463187247786,3.075526811478146,143
1921-01,15.838709677419354,27.39032258064516,21.614516129032257,1921,1,1921-01-01,0,0,0,0,0,0,0,0,0,0,0,2.762456923309374,3.3101897605201716,3.0733651319810913,144
1921-02,17.085714285714285,27.685714285714287,22.385714285714286,1921,2,1921-02-01,1,0,0,0,0,0,0,0,0,0,0,2.838242692461218,3.3209165504013525,3.108423000306662,145
1921-03,14.167741935483871,25.151612903225807,19.65967741935484,1921,3,1921-03-01,0,1,0,0,0,0,0,0,0,0,0,2.6509676857101745,3.224922025830408,2.978569706616699,146
1921-04,11.093333333333334,22.28666666666667,16.69,1921,4,1921-04-01,0,0,1,0,0,0,0,0,0,0,0,2.406344327284898,3.103988592323843,2.8148097376737438,147
1921-05,9.761290322580646,20.06451612903226,14.912903225806453,1921,5,1921-05-01,0,0,0,1,0,0,0,0,0,0,0,2.2784245968691095,2.9989528882540335,2.7022268265090337,148
1921-06,2.3400000000000003,12.99,7.665,1921,6,1921-06-01,0,0,0,0,1,0,0,0,0,0,0,0.8501509293696102,2.5641798306825083,2.0366645123237777,149
1921-07,4.051612903225807,12.87741935483871,8.464516129032258,1921,7,1921-07-01,0,0,0,0,0,1,0,0,0,0,0,1.3991150495489522,2.555475339952163,2.1358828525847877,150
